league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Ligue 1,2025,2025-08-15,Rennes,Marseille,1,0,0,0,H
Ligue 1,2025,2025-08-16,Lens,Lyon,0,1,0,1,A
Ligue 1,2025,2025-08-16,Monaco,Le Havre,3,1,1,0,H
Ligue 1,2025,2025-08-16,Nice,Toulouse,0,1,0,0,A
Ligue 1,2025,2025-08-17,Stade Brestois 29,Lille,3,3,1,2,D
Ligue 1,2025,2025-08-17,Angers,Paris FC,1,0,1,0,H
Ligue 1,2025,2025-08-17,Auxerre,Lorient,1,0,0,0,H
Ligue 1,2025,2025-08-17,Metz,Strasbourg,0,1,0,0,A
Ligue 1,2025,2025-08-17,Nantes,Paris Saint Germain,0,1,0,0,A
Ligue 1,2025,2025-08-22,Paris Saint Germain,Angers,1,0,0,0,H
Ligue 1,2025,2025-08-23,Marseille,Paris FC,5,2,2,1,H
Ligue 1,2025,2025-08-23,Nice,Auxerre,3,1,2,1,H
Ligue 1,2025,2025-08-23,Lyon,Metz,3,0,2,0,H
Ligue 1,2025,2025-08-24,Lorient,Rennes,4,0,1,0,H
Ligue 1,2025,2025-08-24,Strasbourg,Nantes,1,0,0,0,H
Ligue 1,2025,2025-08-24,Toulouse,Stade Brestois 29,2,0,0,0,H
Ligue 1,2025,2025-08-24,Le Havre,Lens,1,2,1,2,A
Ligue 1,2025,2025-08-24,Lille,Monaco,1,0,0,0,H
Ligue 1,2025,2025-08-29,Lens,Stade Brestois 29,3,1,0,1,H
Ligue 1,2025,2025-08-30,Lorient,Lille,1,7,0,0,A
Ligue 1,2025,2025-08-30,Nantes,Auxerre,1,0,1,0,H
Ligue 1,2025,2025-08-30,Toulouse,Paris Saint Germain,3,6,1,4,A
Ligue 1,2025,2025-08-31,Angers,Rennes,1,1,0,1,D
Ligue 1,2025,2025-08-31,Monaco,Strasbourg,3,2,1,0,H
Ligue 1,2025,2025-08-31,Le Havre,Nice,3,1,1,0,H
Ligue 1,2025,2025-08-31,Paris FC,Metz,3,2,1,1,H
Ligue 1,2025,2025-08-31,Lyon,Marseille,1,0,0,0,H
Ligue 1,2025,2025-09-12,Marseille,Lorient,4,0,3,0,H
Ligue 1,2025,2025-09-13,Nice,Nantes,1,0,0,0,H
Ligue 1,2025,2025-09-13,Auxerre,Monaco,1,2,0,1,A
Ligue 1,2025,2025-09-14,Lille,Toulouse,2,1,0,0,H
Ligue 1,2025,2025-09-14,Paris Saint Germain,Lens,2,0,1,0,H
Ligue 1,2025,2025-09-14,Strasbourg,Le Havre,1,0,0,0,H
Ligue 1,2025,2025-09-14,Stade Brestois 29,Paris FC,1,2,0,2,A
Ligue 1,2025,2025-09-14,Metz,Angers,1,1,1,0,D
Ligue 1,2025,2025-09-14,Rennes,Lyon,3,1,0,1,H
Ligue 1,2025,2025-09-19,Lyon,Angers,1,0,0,0,H
Ligue 1,2025,2025-09-20,Nantes,Rennes,2,2,0,2,D
Ligue 1,2025,2025-09-20,Stade Brestois 29,Nice,4,1,2,1,H
Ligue 1,2025,2025-09-20,Lens,Lille,3,0,2,0,H
Ligue 1,2025,2025-09-21,Paris FC,Strasbourg,2,3,0,1,A
Ligue 1,2025,2025-09-21,Monaco,Metz,5,2,1,1,H
Ligue 1,2025,2025-09-21,Auxerre,Toulouse,1,0,1,0,H
Ligue 1,2025,2025-09-21,Le Havre,Lorient,1,1,0,1,D
Ligue 1,2025,2025-09-22,Marseille,Paris Saint Germain,1,0,1,0,H
Ligue 1,2025,2025-09-26,Strasbourg,Marseille,1,2,0,0,A
